ID_Pregunta;Seccion;Pregunta;TipoRespuesta;Obligatoria;Activo;Orden;Opciones;AplicaVisita;DependeDe
P001;1;Nombre del cliente;Texto;Si;Si;1;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P002;1;Tipo de identificación del cliente;Opcion multiple;Si;Si;2;CC | CE;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P003;1;Número de identificación del cliente;Texto;Si;Si;3;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P004;1;Tipo de cliente;Opcion multiple;Si;Si;4;Nuevo | Antiguo del activo | Antiguo del pasivo;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P005;1;Estado civil;Opcion multiple;Si;Si;5;Soltero|Casado|Unión libre;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P006;1;Nombre del cónyuge;Texto;No;Si;6;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;P005=Casado|Unión libre
P007;1;Tipo de identificación del cónyuge;Opcion multiple;No;Si;7;CC | CE;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;P005=Casado|Unión libre
P008;1;Número de identificación del cónyuge;Texto;No;Si;8;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;P005=Casado|Unión libre
P009;1;Actividad del cónyuge;Texto;No;Si;9;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;P005=Casado|Unión libre
P010;1;¿El cónyuge participa en el negocio del cliente?;Si/No;No;Si;10;Sí | No;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;P005=Casado|Unión libre
P011;1;Validación de antecedentes;Opcion multiple;Si;Si;11;Favorable | No Favorable | A criterio del Banco;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P012;1;Referencia de consulta;Texto;Si;Si;12;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P013;1;Fecha de consulta (AAAAMMDD);Texto;Si;Si;13;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P014;2;Nombre del negocio;Texto;Si;Si;1;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P015;2;Dirección del negocio — Dirección 1;Texto;Si;Si;2;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P016;2;Dirección del negocio — Barrio 1;Texto;Si;Si;3;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P017;2;Dirección del negocio — Dirección 2/ opcional;Texto;Si;Si;4;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P018;2;Dirección del negocio — Barrio 2/ opcional;Texto;Si;Si;5;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P019;2;Dirección del negocio — Dirección 3/ opcional;Texto;Si;Si;6;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P020;2;Dirección del negocio — Barrio 3/ opcional;Texto;Si;Si;7;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P021;2;Teléfonos de contacto — Teléfono 1;Texto;Si;Si;8;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P022;2;Teléfonos de contacto — Teléfono 2/ opcional;Texto;Si;Si;9;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P023;2;Teléfonos de contacto — Teléfono 3/ opcional;Texto;Si;Si;10;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P024;2;Código CIIU (Clasificación Industrial Internacional Uniforme);Texto;Si;Si;11;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P025;2;Antigüedad del negocio — Años y meses;Texto;Si;Si;12;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P026;2;¿Cómo se desarrolla la actividad? (descripción);Texto largo;Si;Si;13;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P027;2;Horario de atención;Opcion multiple;Si;Si;14;Lunes a viernes|Todos los días;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P028;2;Administrador del negocio;Opcion multiple;Si;Si;15;Empleado | Socio;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P029;2;Nombre del administrador del negocio;Texto;Si;Si;16;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P030;2;El administrador es;Opcion multiple;Si;Si;17;Solicitante | Cónyuge;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P031;2;Tipo de identificación del administrador;Opcion multiple;Si;Si;18;CC | CE;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P032;2;Número de identificación del administrador;Texto;Si;Si;19;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P033;2;Tipo de régimen;Opcion multiple;Si;Si;20;Responsable de IVA | No responsable de IVA | Grandes Contribuyentes;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P034;2;¿Facturador electrónico?;Si/No;Si;Si;21;SI | NO;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P035;2;Fecha de inicio de facturación (DD/MM/AAAA);Texto;No;Si;22;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P036;2;¿Residente?;Si/No;Si;Si;23;SI | NO;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P037;2;Código postal;Texto;Si;Si;24;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P038;2;Fecha de la última visita realizada al cliente (DD/MM/AAAA);Texto;Si;Si;25;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P039;2;Referenciación zonal;Texto largo;Si;Si;26;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P040;2;Nombre del establecimiento o persona contactada;Texto;Si;Si;27;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P041;2;Dirección de la persona contactada;Texto;Si;Si;28;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P042;2;¿Quién atiende el negocio?;Texto;Si;Si;29;;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P044;2;¿El negocio está abierto permanentemente?;Si/No;Si;Si;30;Sí | No;Prospección, Seguimiento condicional si quiere actualizar datos o si la visita es renovacion lo debe hacer;
P045;3;Fecha de apertura del corresponsal (AAAA/MM/DD);Texto;Si;Si;1;;Seguimiento;
P046;3;Fecha de la última renovación (AAAA/MM/DD);Texto;Si;Si;2;; Seguimiento;
P047;3;Número de cuenta de corresponsalía;Texto;Si;Si;3;; Seguimiento;
P048;3;¿Se solicita aumento de cupo en la renovación?;Si/No;Si;Si;4;SI | NO; Seguimiento;
P049;3;Nuevo cupo sugerido ($);Texto;No;Si;5;; Seguimiento;P048=Si
P050;3;Cupo actual de corresponsalía ($);Texto;Si;Si;6;;Seguimiento;
P051;3;¿Cuenta con contrato en carpeta única?;Si/No;Si;Si;7;SI | NO;Seguimiento;
P052;3;¿El corresponsal se encuentra al día en sus pagos?;Si/No;Si;Si;8;SI | NO;Seguimiento;
P053;3;Número de veces que quedó en mora;Texto;No;Si;9;;Seguimiento;
P054;3;Señalización de identificación del Banco — Estado — Aviso Externo;Opcion multiple;Si;Si;10;Bueno | Cambió;Seguimiento;
P055;3;Señalización de identificación del Banco — Estado — Flanger;Opcion multiple;Si;Si;11;Bueno | Cambió;Seguimiento;
